,Phone Name,Phone Price,Phone Review,Product Links
0,"REDMI 10 Power (Sporty Orange, 128 GB)","₹12,703",4.2,https://www.flipkart.com/redmi-10-power-sporty-orange-128-gb/p/itm97f5d2ec83588?pid=MOBGHDXFV9PCSYXV&lid=LSTMOBGHDXFV9PCSYXVS3DOKC&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBGHDXFV9PCSYXV.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
1,"REDMI 10 Power (Power Black, 128 GB)","₹12,745",4.2,https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm97f5d2ec83588?pid=MOBGHDXFYKKZFZGV&lid=LSTMOBGHDXFYKKZFZGVP4ND5Q&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBGHDXFYKKZFZGV.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
2,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,440",4.1,https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFNHYHCSEU&lid=LSTMOBGHDXFNHYHCSEU25HZPK&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBGHDXFNHYHCSEU.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
3,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,790",4.2,https://www.flipkart.com/redmi-9a-sport-metallic-blue-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFXX4VJAC9&lid=LSTMOBGHDXFXX4VJAC9BWJLNF&marketplace=FLIPKART&q=phones&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBGHDXFXX4VJAC9.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
4,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,999",4.2,https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFKYSE5TPK&lid=LSTMOBGHDXFKYSE5TPKQDXYF2&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBGHDXFKYSE5TPK.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
5,"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,439",4.1,https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFDH2AYAPY&lid=LSTMOBGHDXFDH2AYAPY19NTNM&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBGHDXFDH2AYAPY.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
6,"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,790",4.2,https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFS8EKH8GK&lid=LSTMOBGHDXFS8EKH8GKFLDGNW&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBGHDXFS8EKH8GK.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
7,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)","₹23,999",4.2,https://www.flipkart.com/xiaomi-11i-hypercharge-5g-stealth-black-128-gb/p/itmd19127afbbce1?pid=MOBG9QWVZFNZDNMM&lid=LSTMOBG9QWVZFNZDNMMGF5UXW&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBG9QWVZFNZDNMM.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
8,"Redmi Note 6 Pro (Black, 64 GB)","₹15,999",4.5,https://www.flipkart.com/redmi-note-6-pro-black-64-gb/p/itmadbd624f136eb?pid=MOBFAJB4CWKAZGPZ&lid=LSTMOBFAJB4CWKAZGPZSY71AI&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBFAJB4CWKAZGPZ.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
9,"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹17,999",4.5,https://www.flipkart.com/redmi-note-6-pro-rose-gold-64-gb/p/itmadbd624f136eb?pid=MOBFAJB4FCW5FQZH&lid=LSTMOBFAJB4FCW5FQZHEQ5C8K&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBFAJB4FCW5FQZH.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
10,"Redmi Note 6 Pro (Red, 64 GB)","₹15,999",4.5,https://www.flipkart.com/redmi-note-6-pro-red-64-gb/p/itmadbd624f136eb?pid=MOBFAJB4DZJRGMGV&lid=LSTMOBFAJB4DZJRGMGVCCZVN0&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBFAJB4DZJRGMGV.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
11,"Redmi Note 6 Pro (Red, 64 GB)","₹17,999",4.5,https://www.flipkart.com/redmi-note-6-pro-red-64-gb/p/itmadbd624f136eb?pid=MOBFAJB4RHKJHDJD&lid=LSTMOBFAJB4RHKJHDJDRBZWBG&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBFAJB4RHKJHDJD.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
12,"Mi 10T (Cosmic Black, 128 GB)","₹23,990",4.2,https://www.flipkart.com/mi-10t-cosmic-black-128-gb/p/itm58cc0f1ad2682?pid=MOBFWAFZPGHZSHA7&lid=LSTMOBFWAFZPGHZSHA7QUZTOH&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBFWAFZPGHZSHA7.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
13,"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 128 GB)","₹29,990",4,https://www.flipkart.com/xiaomi-11t-pro-5g-hyperphone-celestial-magic-128-gb/p/itm7124fdf6f4b04?pid=MOBGAU545V4QSFFP&lid=LSTMOBGAU545V4QSFFPVSHWSJ&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBGAU545V4QSFFP.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
14,"Mi 11 Lite (Vinyl Black, 128 GB)","₹21,999",4.2,https://www.flipkart.com/mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKHGETEBVM&lid=LSTMOBG3VSKHGETEBVMNKGWJP&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBG3VSKHGETEBVM.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
15,"Mi 11 Lite (Jazz Blue, 128 GB)","₹18,999",4.2,https://www.flipkart.com/mi-11-lite-jazz-blue-128-gb/p/itmac6203bae9394?pid=MOBG3VSKQMCRP5CR&lid=LSTMOBG3VSKQMCRP5CREMBEJS&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBG3VSKQMCRP5CR.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
16,"Mi 11 Lite (Vinyl Black, 128 GB)","₹18,999",4.2,https://www.flipkart.com/mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKRKGZKJAR&lid=LSTMOBG3VSKRKGZKJAR6UDWFB&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBG3VSKRKGZKJAR.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
17,"REDMI Note 11T 5G (Stardust White, 128 GB)","₹19,400",4.2,https://www.flipkart.com/redmi-note-11t-5g-stardust-white-128-gb/p/itm0dd08e65983e7?pid=MOBGHDXFRVUWG55U&lid=LSTMOBGHDXFRVUWG55UUHENFR&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBGHDXFRVUWG55U.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
18,"Xiaomi 11Lite NE (Jazz Blue, 128 GB)","₹24,999",4.2,https://www.flipkart.com/xiaomi-11lite-ne-jazz-blue-128-gb/p/itme80f8cab932f2?pid=MOBG7F6CTXH78NG6&lid=LSTMOBG7F6CTXH78NG6PW0SJU&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=cb726434-92a2-424b-b178-2610175a636e.MOBG7F6CTXH78NG6.SEARCH&ppt=None&ppn=None&ssid=bwcmd66kj40000001685390817428&qH=28388ea49f54c5b8
